Address,Designation,Store #,Open Date,latitude,longitude
"401 E US Highway 82, Sherman, Texas",Walmart Supercenter,947,"August 19, 1986",33.673156,-96.612124
"1400 W Main St., Farmington, New Mexico",Walmart Supercenter,3428,"May 3, 2006",36.731989,-108.226587
"8445 Walbrook Dr., Knoxville, Tennessee",Walmart Supercenter,2065,"January 25, 1994",35.92637,-84.062777
"9460 Giles Road, La Vista, Nebraska",Neighborhood Market,3173,"November 15, 2013",41.177653,-96.059955
"805 W Wade Hampton Blvd. Ste. B, Greer, South Carolina",Neighborhood Market,4145,"February 20, 2013",34.945035,-82.245991
"1270 York Rd., Gettysburg, Pennsylvania",Walmart,1537,"January 30, 1991",39.843437,-77.204623
"5720 College Corner Pike, Oxford, Ohio",Walmart Supercenter,2275,"January 3, 1995",39.527904,-84.769548
"904 Cypress Pkwy., Kissimmee, Florida",Walmart Supercenter,5250,"August 20, 2004",28.142893,-81.447848
"400 Park Pl., Secaucus, New Jersey",Walmart Supercenter,3520,"October 27, 2004",40.792981,-74.042519
"209 Lakeshore Pkwy, Homewood, Alabama",Walmart Supercenter,1481,"October 29, 1990",33.448237,-86.821089
"470 North Mayo Trail, Paintsville, Kentucky",Walmart Supercenter,1233,"September 1, 1988",37.823797,-82.824979
"373 S Illinois Ave., Oak Ridge, Tennessee",Walmart Supercenter,1194,"August 16, 1988",36.008738,-84.252819
"11012 North Williams St., Dunnellon, Florida",Walmart Supercenter,960,"September 9, 1986",29.063053,-82.455587
"805 Hwy 9 Bypass West, Lancaster, South Carolina",Walmart Supercenter,1030,"March 3, 1987",34.717915,-80.683935
"1004 W Ocean Boulevard, Los Fresnos, Texas",Walmart Supercenter,2765,"March 11, 2015",26.074522,-97.491179
"2010 Paxville Hwy., Manning, South Carolina",Walmart Supercenter,1017,"March 3, 1987",33.700325,-80.226183
"850 S Barrington Rd., Streamwood, Illinois",Walmart Supercenter,1420,"January 31, 1990",42.015216,-88.148067
"201 N Nellis Blvd., Las Vegas, Nevada",Walmart,1559,"October 29, 1990",36.164962,-115.063229
"1621 Main St., Chipley, Florida",Walmart Supercenter,2114,"August 30, 1994",30.752566,-85.547114
"265 N Route 73, West Berlin, New Jersey",Walmart Supercenter,1807,"August 4, 1992",39.808153,-74.930847
"410 N Canal Blvd., Thibodaux, Louisiana",Walmart Supercenter,1016,"April 28, 1987",29.808325,-90.816338
"300 Walmart Dr., Gibsonia, Pennsylvania",Walmart,2603,"January 26, 2000",40.62312,-79.946547
"3186 AL-171, Fayette, Alabama",Walmart Supercenter,1052,"February 3, 1987",33.64555,-87.837726
"4550 Kester Mill Rd., Winston Salem, North Carolina",Walmart Supercenter,2472,"August 13, 1997",36.067592,-80.336788
"2080 N State Route 50, Bourbonnais, Illinois",Walmart Supercenter,1307,"May 2, 1989",41.190429,-87.847122
"11 Village Pkwy., Fredericksburg, Virginia",Walmart Supercenter,4258,"October 14, 2009",38.369325,-77.529282
"201 Highlands Boulevard Dr., Manchester, Missouri",Walmart Supercenter,1177,"October 3, 1988",38.59589,-90.506702
"3130 Atlanta Hwy., Athens, Georgia",Neighborhood Market,5267,"January 27, 2016",33.94358,-83.444474
"1951 W Hickpochee Ave, LaBelle, Florida",Walmart Supercenter,6190,"May 11, 2016",26.737753,-81.467487
"1300 John Sims Pkwy. E, Niceville, Florida",Walmart Supercenter,5845,"January 26, 2011",30.517192,-86.46021
"5800 US Highway 98 N, Lakeland, Florida",Walmart Supercenter,1245,"February 2, 1989",28.117919,-81.973816
"1780 S Lake Dr., Lexington, South Carolina",Walmart Supercenter,4521,"September 19, 2007",33.910908,-81.229687
"1106 S Rock Rd., Derby, Kansas",Neighborhood Market,3155,"June 12, 2013",37.532754,-97.242867
"8322 Pineville Matthews Rd., Charlotte, North Carolina",Neighborhood Market,4848,"January 20, 2016",35.09046,-80.859433
"901 Row River Rd., Cottage Grove, Oregon",Walmart Supercenter,2320,"May 29, 1996",43.80016,-123.043203
"2025 Paul Bunyan Dr. NW, Bemidji, Minnesota",Walmart Supercenter,3233,"February 20, 2002",47.495427,-94.908745
"2020 N 75th Ave., Phoenix, Arizona",Walmart Supercenter,1549,"September 11, 1991",33.471025,-112.222837
"5251 Cypress Street, West Monroe, Louisiana",Neighborhood Market,2940,"January 28, 2015",32.515858,-92.188805
"11250 E Colonial Dr., Orlando, Florida",Walmart Supercenter,890,"May 20, 1986",28.56644,-81.217568
"2936 E 79th Ave., Merrillville, Indiana",Walmart Supercenter,1618,"September 11, 1991",41.47466,-87.299029
"6051 Florin Rd., Sacramento, California",Walmart Supercenter,2735,"October 24, 2001",38.498775,-121.433766
"11010 W 74th Ter., Shawnee, Kansas",Neighborhood Market,5308,"June 2, 2004",39.179857,-95.557262
"1705 South Kings Hwy., Myrtle Beach, South Carolina",Neighborhood Market,5367,"March 22, 2017",33.673445,-78.904448
"1525 E Nine Mile Road, Pensacola, Florida",Neighborhood Market,5771,"May 24, 2017",30.531238,-87.232132
"7075 Collins Rd., Jacksonville, Florida",Walmart Supercenter,6978,"April 20, 2016",30.207456,-81.7603
"1827 Walnut Grove Ave., Rosemead, California",Walmart Supercenter,5154,"September 13, 2006",34.050338,-118.084287
"1250 W Dallas St., Buffalo, Missouri",Walmart,845,"October 1, 1985",37.640175,-93.096383
"1916 Center Point Pkwy, Birmingham, Alabama",Neighborhood Market,5100,"January 15, 2003",33.637739,-86.684404
"5290 S Power Rd., Gilbert, Arizona",Walmart Supercenter,3861,"August 8, 2007",33.319542,-111.688858
"1091 Millcreek Rd., Allentown, Pennsylvania",Walmart Supercenter,2641,"July 18, 2001",,
"2012 Memorial Blvd., Murfreesboro, Tennessee",Walmart Supercenter,2757,"October 22, 2014",35.878044,-86.382925
"1216 Junction Hwy., Kerrville, Texas",Walmart Supercenter,508,"April 5, 1983",30.062365,-99.167332
"21655 N Lake Pleasant Pkwy., Peoria, Arizona",Walmart Supercenter,3896,"May 7, 2008",33.67996,-112.276668
"14215 U.S. Highway 64 West, Siler City, North Carolina",Walmart Supercenter,2845,"July 19, 2000",35.735993,-79.427387
"12300 Route 47, Huntley, Illinois",Walmart Supercenter,4641,"April 29, 2009",42.151552,-88.428894
"1100 New Haven Rd., Naugatuck, Connecticut",Walmart Supercenter,2284,"September 10, 1997",41.470569,-73.028018
"1226 E Dixie Dr., Asheboro, North Carolina",Walmart Supercenter,1132,"June 14, 1988",35.692669,-79.789915
"2750 W University Dr., Denton, Texas",Walmart Supercenter,4627,"October 27, 2010",33.232687,-97.168331
"930 Mount Prospect Plaza, Mount Prospect, Illinois",Walmart Supercenter,1681,"November 5, 1991",42.068444,-87.921486
"2200 Washington Pike, Carnegie, Pennsylvania",Walmart,5040,"October 27, 2004",40.3869,-80.095856
"24635 Dulles Landing Drive, Dulles, Virginia",Walmart Supercenter,3639,"July 1, 2015",37.305417,-81.34246
"355 54th Street SW, Wyoming, Michigan",Walmart Supercenter,3453,"August 6, 2014",42.867783,-85.672724
"729 Odd Fellows Rd., Crowley, Louisiana",Walmart Supercenter,310,"September 30, 1980",30.23085,-92.364435
"4051 Nicholasville Rd., Lexington, Kentucky",Walmart Supercenter,2628,"January 27, 1999",37.979067,-84.531292
"2753 E Eastland Center Dr. Ste. 5555, West Covina, California",Walmart Supercenter,5954,"November 14, 2012",34.073689,-117.88609
"10504 S 15th St., Bellevue, Nebraska",Walmart Supercenter,2847,"January 24, 2001",41.155561,-95.936587
"400 S Fran Ave., Butler, Missouri",Walmart Supercenter,888,"June 17, 1986",38.253732,-94.354981
"9005 FM 1560 N, San Antonio, Texas",Neighborhood Market,5490,"March 16, 2016",29.525455,-98.719473
"4691 State Highway 121, Colony, Texas",Walmart Supercenter,426,"November 30, 1982",29.769118,-97.178877
"800 S Highway 287, Decatur, Texas",Walmart Supercenter,421,"June 29, 1982",33.22847,-97.597167
"2755 Holton-Whitehall Road, Whitehall, Michigan",Walmart Supercenter,3458,"May 17, 2017",43.409818,-86.308947
"7735 N Tryon St., Charlotte, North Carolina",Walmart Supercenter,2134,"January 3, 1995",35.295444,-80.758198
"4 College Park Ln., Georgetown, Delaware",Walmart Supercenter,2791,"August 16, 2000",38.70263,-75.404383
"1000 Chestnut Commons Dr., Elyria, Ohio",Walmart Supercenter,4255,"April 18, 2007",41.350905,-82.067269
"851 Ann St., Montgomery, Alabama",Walmart Supercenter,5348,"July 19, 2006",32.370693,-86.268412
"605 E Main St., Henryetta, Oklahoma",Walmart,247,"March 13, 1979",35.439666,-95.973589
"100 Juniper Ave., Wadena, Minnesota",Walmart Supercenter,4246,"January 22, 2007",46.452898,-95.126816
"616 Garland Ave. #363, Fayetteville, Arkansas",Clinic Pharmacy,2997,"January 14, 2011",36.05646,-94.175122
"14344 Spring Hill Drive, Spring Hill, Florida",Neighborhood Market,6207,"January 13, 2016",28.476861,-82.485769
"1804 NW 9th St., Corvallis, Oregon",Neighborhood Market,3146,"March 29, 2013",44.58565,-123.257091
"2800 Spring Ave. SW, Decatur, Alabama",Walmart Supercenter,662,"July 4, 1981",34.556786,-86.997067
"10505 Broadway St., Pearland, Texas",Walmart Supercenter,3572,"March 19, 2003",29.557873,-95.38265
"2225 W Interstate 20, Grand Prairie, Texas",Walmart Supercenter,896,"September 2, 1986",32.673669,-97.035726
"1330 East Grand Avenue, Escondido, California",Walmart,5996,"September 11, 2013",33.129612,-117.062391
"3600 W McFadden Ave., Santa Ana, California",Walmart Supercenter,2517,"January 26, 1998",33.737428,-117.915362
"250 E Tucker Rd., Liberal, Kansas",Walmart Supercenter,799,"July 2, 1985",37.067048,-100.91685
"920 47th Ave., Greeley, Colorado",Walmart Supercenter,5051,"May 21, 2003",40.422969,-104.753585
"18555 W 151st St., Olathe, Kansas",Neighborhood Market,4198,"October 2, 2013",38.852846,-94.799902
"147 Northside Dr. E, Statesboro, Georgia",Walmart Supercenter,754,"April 3, 1984",32.434143,-81.759606
"1017 Mulberry Ave., Selmer, Tennessee",Walmart Supercenter,218,"April 10, 1979",35.139697,-88.57436
"3520 Williams Blvd., Kenner, Louisiana",Neighborhood Market,3703,"April 12, 2006",30.020253,-90.239051
"135 Stoneridge Dr., Ruckersville, Virginia",Walmart Supercenter,4638,"August 18, 2010",38.235873,-78.372526
"7700 N Alger Rd., Alma, Michigan",Walmart Supercenter,1422,"January 31, 1990",43.406281,-84.666616
"2915 Neuse Blvd., New Bern, North Carolina",Neighborhood Market,7218,"April 9, 2014",35.125525,-77.088628
"6065 Jonesboro Rd., Morrow, Georgia",Walmart Supercenter,1047,"September 1, 1987",33.589373,-84.339734
"6065 Gull Rd., Kalamazoo, Michigan",Walmart Supercenter,5064,"March 19, 2003",42.329186,-85.510613
"10655 Folsom Blvd., Rancho Cordova, California",Walmart Supercenter,2457,"April 18, 2001",38.595884,-121.291214
"2650 S Hwy. 161, Grand Prairie, Texas",Walmart Supercenter,4503,"June 7, 2017",32.707756,-97.021581
"2217 NW 23rd St., Oklahoma City, Oklahoma",Neighborhood Market,3615,"June 29, 2005",35.493761,-97.550882
"3810 NE Evangeline Thruway, Carencro, Louisiana",Walmart Supercenter,7301,"April 5, 2017",30.318374,-92.030141
"7075 W Wheatland Rd., Dallas, Texas",Walmart Supercenter,5810,"April 23, 2014",32.648837,-96.944319
"1200 E Jackson Ave., McAllen, Texas",Walmart Supercenter,397,"November 17, 1981",26.188966,-98.209983
"8400 Highway 64, Bartlett, Tennessee",Walmart Supercenter,950,"September 2, 1986",35.206593,-89.782769
"6625 S Memorial Dr., Tulsa, Oklahoma",Walmart Supercenter,894,"August 5, 1986",36.066521,-95.883454
"19360 Compass Creek Parkway, Leesburg, Virginia",Walmart Supercenter,1904,"June 1, 1993",39.080517,-77.56156
"5065 Pyramid Way, Sparks, Nevada",Walmart Supercenter,3729,"January 23, 2006",39.584426,-119.746373
"6177 S Jog Rd., Lake Worth, Florida",Neighborhood Market,5759,"February 18, 2009",26.587676,-80.148403
"1334 North Ellington Pkwy., Lewisburg, Tennessee",Walmart Supercenter,737,"July 4, 1981",35.47092,-86.790949
"475 Crockett Trace Dr., Morristown, Tennessee",Walmart Supercenter,685,"July 4, 1981",36.213393,-83.254937
"2453 2nd Ave. E, Oneonta, Alabama",Walmart Supercenter,315,"October 14, 1980",33.970063,-86.451534
"24 Quaker Ridge Blvd., Queensbury, New York",Walmart Supercenter,4403,"September 14, 2011",43.319793,-73.612331
"1153 Fortress Blvd., Murfreesboro, Tennessee",Neighborhood Market,5148,"January 27, 2016",35.867033,-86.464398
"719 W 7th Ave., Augusta, Kansas",Walmart Supercenter,346,"December 2, 1980",37.678041,-96.98773
"1604 E Spruce St., Portales, New Mexico",Walmart Supercenter,2653,"July 15, 1998",34.198507,-103.319153
"1238 Putty Hill Ave. Ste. 5, Towson, Maryland",Walmart,5344,"May 11, 2005",39.394247,-76.580122
"2300 Metropolitan Avenue, Kansas City, Kansas",Neighborhood Market,6172,"September 10, 2014",39.07377,-94.655409
"11207 S State Highway 51, Coweta, Oklahoma",Walmart Supercenter,374,"July 21, 1981",35.96492,-95.655778
"333 S Westwood Blvd., Poplar Bluff, Missouri",Walmart Supercenter,19,"April 3, 1990",36.755453,-90.408412
"14000 Worth Ave., Woodbridge, Virginia",Walmart Supercenter,1852,"February 2, 1993",38.648662,-77.297171
"101 Howland Blvd., Deltona, Florida",Walmart Supercenter,3310,"March 14, 2007",28.86982,-81.164154
"1455 Highway 441 S, Clayton, Georgia",Walmart Supercenter,2753,"May 17, 2000",34.859802,-83.404616
"300 Clinic Dr., Hopkinsville, Kentucky",Walmart Supercenter,653,"July 4, 1981",36.829938,-87.469997
"2602 James L. Redman Pkwy., Plant City, Florida",Walmart Supercenter,547,"October 4, 1983",27.985937,-82.119411
"5219 Highway 51 N, Senatobia, Mississippi",Walmart Supercenter,155,"August 1, 1977",34.575831,-89.968427
"2550 S Kolb Rd., Tucson, Arizona",Neighborhood Market,3049,"April 19, 2013",32.192946,-110.842481
"2121 N Collins St., Arlington, Texas",Neighborhood Market,5613,"January 16, 2013",32.768159,-97.09591
"2586 N Slappey Blvd., Albany, Georgia",Neighborhood Market,4517,"January 20, 2016",31.613019,-84.174321
"1341 Highway 287 N, Bowie, Texas",Walmart Supercenter,271,"August 7, 1979",33.540516,-97.837432
